id,region,subregion,country,location,lat,lon,year,depth,severity_code,bleaching_severity,coral_family,coral_species,percentage_affected,mortality_code,mortality,water_temperature,source,country_code
151,Middle East,Red Sea - Gulf of Aden,Eritrea,"SW Red Sea, Aseb",13.0185,42.7783,1998,,0,No Bleaching,,,,Unknown,,,NOAA database,ERI
152,Middle East,Red Sea - Gulf of Aden,Eritrea,"SW Red Sea, Mitsiwa",15.6224,39.4841,1998,,2,Medium,,,,Unknown,,,NOAA database,ERI
153,Asia,South Asia,Sri Lanka,Sri Lanka,6.3203,81.6206,1998,,2,Medium,,,,Unknown,,,NOAA database,LKA
154,Asia,South Asia,Maldives,north of Ari Atoll,4.2716,72.7749,1998,,2,Medium,,,,Unknown,,,NOAA database,MDV
155,Asia,South Asia,Maldives,Maldives,4.1697,72.8265,1998,,3,High,,,,Unknown,,,NOAA database,MDV
156,Australia,Australia and Papua New Guinea,Papua New Guinea,"Island of New Britain, nr Bismarck Sea ",-5.1503,150.5733,1998,,1,Low,Acroporidae,acropora,,Unknown,,29.5,NOAA database,PNG
157,Pacific,Micronesia,Palau,Palau,7.752,134.5763,1998,,2,Medium,,,,High,1.1,,NOAA database,PLW
158,Asia,North and East Asia,Japan,Okinawa,26.269,127.6995,1998,,2,Medium,,,,Unknown,,30,NOAA database,JPN
159,Americas,Mesoamerica,Belize,Belize,17.0905,-87.9996,1998,,2,Medium,,,,Unknown,,,NOAA database,BLZ
160,Asia,Southeast Asia,Indonesia,N. Sulawesi,1.1385,122.35,1998,,2,Medium,,,,Unknown,,,NOAA database,IDN
161,Asia,Southeast Asia,Philippines,Cebu,10.4456,123.6308,1998,,2,Medium,,,,Unknown,,,NOAA database,PHL
162,Middle East,Persian Gulf,Bahrain,Hayr Shutaya,26.6,50.8,1998,,3,High,,,,High,90,32.22,"Wilkinson, Clive",BHR
163,Middle East,Persian Gulf,Bahrain,Fasht Al Adhom,26.15,50.7008,1998,,3,High,,,,High,90,32.22,"Wilkinson, Clive",BHR
164,Middle East,Persian Gulf,Bahrain,Fasht Al Dibal,26.2923,50.9617,1998,,3,High,,,,High,90,32.22,"Wilkinson, Clive",BHR
165,Middle East,Persian Gulf,Bahrain,Abul Thama,26.9029,50.9448,1998,,2,Medium,,,,Medium,,,"Wilkinson, Clive",BHR
166,Middle East,Red Sea - Gulf of Aden,Eritrea,Massawa/Green Island,15.8,39.4487,1998,,2,Medium,,,,Low,,,"Wilkinson, Clive",ERI
167,Middle East,Persian Gulf,United Arab Emirates,United Arab Emirates,24.4882,52.9802,1998,,3,High,,,,High,,,"Wilkinson, Clive",ARE
168,Middle East,Red Sea - Gulf of Aden,Yemen,"Yemen, Socotra",12.5108,54.4597,1998,,3,High,,,,Unknown,,,"Wilkinson, Clive",YEM
